Node,Hostname,VehiclesArrived,Time(s)
0,jn_laptop,5208022,31.3338
1,jn_laptop,5208022,31.3341
2,jn_laptop,5208022,31.334
3,jn_laptop,5208022,31.3348
4,jn_laptop,5208022,31.3347
5,jn_laptop,5208022,31.3349
6,jn_laptop,5208022,31.3345
7,jn_laptop,5208022,31.334
8,jn_laptop,5208022,31.3345
9,jn_laptop,5208022,31.3346
10,jn_laptop,5208022,31.335
11,jn_laptop,5208022,31.3347

TotalVehicles,62496264
MaxTime(s),31.335
Speedup,0.999964
Efficiency,0.0833304
